iter	Passed	Remaining
0	1	150
1	2	139
2	4	135
3	5	128
4	6	130
5	8	130
6	12	159
7	13	160
8	15	154
9	16	150
10	18	146
11	19	142
12	20	138
13	22	135
14	23	133
15	24	130
16	26	128
17	27	125
18	29	125
19	30	123
20	32	120
21	33	118
22	34	116
23	36	116
24	38	115
25	39	113
26	41	111
27	42	109
28	44	108
29	45	106
30	46	104
31	48	102
32	49	100
33	50	98
34	52	96
35	53	95
36	55	93
37	56	92
38	57	90
39	59	89
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	66	78
46	68	77
47	69	75
48	71	73
49	72	72
50	74	71
51	75	69
52	77	68
53	78	66
54	79	64
55	80	63
56	82	61
57	83	60
58	84	58
59	86	57
60	88	56
61	89	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	97	46
68	99	44
69	100	43
70	102	41
71	103	40
72	105	38
73	106	37
74	107	35
75	109	34
76	110	33
77	111	31
78	113	30
79	114	28
80	115	27
81	118	25
82	119	24
83	121	23
84	124	21
85	125	20
86	127	18
87	128	17
88	129	16
89	131	14
90	133	13
91	134	11
92	135	10
93	137	8
94	138	7
95	139	5
96	141	4
97	142	2
98	143	1
99	145	0
